LIMIT_BAL,Total-Hist,Total-Bill,Total-Paid,Adjusted,DEFAULT NEXT MONTH
20000,-2,-0.6906919830979218,-0.5090266416327165,0.6366227248777876,1
120000,3,-0.6659974703341205,-0.4381531182977953,0.6226839271117559,1
90000,0,-0.443169868551206,-0.3392162443869728,0.40636546110940297,0
50000,0,-0.10150667536625828,-0.3824538612672425,0.042031942495928606,0
50000,-2,-0.42291999923481033,0.4504210089880215,0.5174600474133432,0
50000,0,-0.08364379298723633,-0.3925809989091612,0.021666207948799067,0
500000,0,6.467347009471891,2.4513527011924428,-6.348804949484531,0
100000,-3,-0.6754584748507972,-0.4415891114263034,0.6319966521304677,0
140000,2,-0.5391789093733209,-0.40920199916237515,0.49498779759734474,0
20000,-10,-0.6400673098069326,-0.2880709112635815,0.6207205998088755,0
200000,1,-0.6201810212823223,-0.41395320497165194,0.5788518878309004,0
260000,-3,-0.4781684717256791,0.569760119609268,0.5951918376419694,0
630000,-5,-0.6029504533237967,-0.13614740647629156,0.6073738292099117,0
70000,7,0.18132493027834135,-0.3444442147930282,-0.24720499518605352,1
250000,0,0.27328979345269827,-0.22443105767288793,-0.32322128343754863,0
50000,3,-0.19350315426164005,-0.4184249280862654,0.1321577526267493,0
20000,8,-0.4312928960195495,-0.41595890430982413,0.38109829234189885,1
320000,-3,1.8341131515098252,5.429290133305864,-1.0075661379616043,0
360000,-9,-0.7109892759958547,-0.5203539108458366,0.6559393322125785,0
180000,-9,-0.7109892759958547,-0.5203539108458366,0.6559393322125785,0
130000,-1,-0.3846017453527314,0.17393042317342983,0.4311011822339115,0
120000,-6,-0.7059939920739335,-0.49437846040065553,0.6550691899577255,1
70000,8,-0.011557314407233446,-0.33934776565504965,-0.04475924019619903,1
450000,-12,-0.6399461162096708,-0.14898717027229563,0.6438895141517025,1
90000,-1,-0.627038998101289,-0.25073531128826115,0.6133574340193915,0
50000,0,-0.14639836457808056,-0.3906246200465178,0.08758223736864587,0
60000,-5,-0.7120273255028362,-0.479253514571816,0.663908293242783,1
50000,0,-0.4152031286613361,-0.40343150352550267,0.3663802216071223,0
50000,-6,-0.6050555334153659,0.13013384090383343,0.6541742651702975,0
50000,0,-0.4552128236182428,-0.4118488646824221,0.4067867641631768,0
230000,-6,-0.4113091256884461,1.082380702097363,0.6111738175380672,0
50000,2,-0.3108686146360192,-0.40635785174021294,0.25684418124067204,1
100000,0,0.5937836267681119,-0.2121995797417394,-0.6561388115902063,0
500000,-12,-0.3796986739504659,2.085444093244092,0.7461422435558545,0
500000,-12,-0.5573421411020786,0.2264402894531186,0.6204369774916292,0
160000,-9,-0.6443011817808394,-0.48287034944392976,0.5925180777386078,0
280000,0,2.1080185852517515,0.16886685435247048,-2.174925305985733,0
60000,-1,-0.6259456210825141,0.35671210548325444,0.7139579945852149,0
50000,-7,-0.7089342541292416,-0.5075305872083422,0.6559393322125785,1
280000,-2,-0.5749283859221334,0.09380109059759915,0.6166011921719764,0
360000,0,3.6381509821240368,3.4884143401370413,-3.2181515219567793,0
70000,0,0.3240461989146242,-0.20236836495299365,-0.37257432025315207,0
